brokerage,row_count,note
Option One Real Estate Service,4,domain unknown — Heath/Atlas to research
North West Sales Office,4,domain unknown — Heath/Atlas to research
Home Team Of America,3,domain unknown — Heath/Atlas to research
CENTURY 21 Judge Fite Company,2,domain unknown — Heath/Atlas to research
Realty One Group Emerald,2,domain unknown — Heath/Atlas to research
HomeSmart,2,domain unknown — Heath/Atlas to research
Fore Premier Properties,2,domain unknown — Heath/Atlas to research
Berkshire Hathaway HomeServices Don Johnson REALTORS,2,domain unknown — Heath/Atlas to research
Premier Realty Group,2,domain unknown — Heath/Atlas to research
Keeping It Realty,2,domain unknown — Heath/Atlas to research
Vortex Realty,2,domain unknown — Heath/Atlas to research
Berkshire Hathaway HomeServices PenFed Realty,2,domain unknown — Heath/Atlas to research
Texas Edge Realty,2,domain unknown — Heath/Atlas to research
,2,domain unknown — Heath/Atlas to research
"Mihara & Associates, Inc",1,domain unknown — Heath/Atlas to research
San Antonio Portfolio Real Estate,1,domain unknown — Heath/Atlas to research
Xsellence Realty,1,domain unknown — Heath/Atlas to research
Homestead & Ranch Real Estate,1,domain unknown — Heath/Atlas to research
Realty of America,1,domain unknown — Heath/Atlas to research
Trust Real Estate,1,domain unknown — Heath/Atlas to research
K & M Premier Real Estate,1,domain unknown — Heath/Atlas to research
Riverside Realty & Property Management,1,domain unknown — Heath/Atlas to research
Newhomeprograms.Com Llc,1,domain unknown — Heath/Atlas to research
Niva Realty,1,domain unknown — Heath/Atlas to research
Doerr Realty,1,domain unknown — Heath/Atlas to research
The Scoller Group,1,domain unknown — Heath/Atlas to research
The Lumen Team,1,domain unknown — Heath/Atlas to research
"Skylight Realty Group, LLC",1,domain unknown — Heath/Atlas to research
Brigette Neal,1,domain unknown — Heath/Atlas to research
B.Properties,1,domain unknown — Heath/Atlas to research
"LoneStar Home Realty, LLC",1,domain unknown — Heath/Atlas to research
Porch Swing Properties,1,domain unknown — Heath/Atlas to research
Sunflower Real Estate,1,domain unknown — Heath/Atlas to research
David Karras Real Estate Solutions,1,domain unknown — Heath/Atlas to research
"Texas Homes & Acres Realty, LLC",1,domain unknown — Heath/Atlas to research
Connect Realty,1,domain unknown — Heath/Atlas to research
"Qk Homes, Llc",1,domain unknown — Heath/Atlas to research
IH-10 Realty,1,domain unknown — Heath/Atlas to research
"Sage Seis Partners, Inc",1,domain unknown — Heath/Atlas to research
EXIT REALTY ADVISORS,1,domain unknown — Heath/Atlas to research
Blue Fox Property Management,1,domain unknown — Heath/Atlas to research
Regal Realty,1,domain unknown — Heath/Atlas to research
Maverick Homes & Neighborhoods,1,domain unknown — Heath/Atlas to research
ADT Realty Brokers,1,domain unknown — Heath/Atlas to research
Zest Realty,1,domain unknown — Heath/Atlas to research
REALTY ADVANTAGE,1,domain unknown — Heath/Atlas to research
Better Homes and Gardens Winans,1,domain unknown — Heath/Atlas to research
Select Properties,1,domain unknown — Heath/Atlas to research
CENTURY 21 Randall Morris & Associates,1,domain unknown — Heath/Atlas to research
Radiant Realty,1,domain unknown — Heath/Atlas to research
TriPoint Realty LLC,1,domain unknown — Heath/Atlas to research
River Realty,1,domain unknown — Heath/Atlas to research
Schrader Group Property Mgmt.,1,domain unknown — Heath/Atlas to research
Key Realty,1,domain unknown — Heath/Atlas to research
The Ortiz Firm,1,domain unknown — Heath/Atlas to research
Mindy Thomas Realty,1,domain unknown — Heath/Atlas to research
"Dalton Wade, Inc.",1,domain unknown — Heath/Atlas to research
3D Realty & Property Mgmt.,1,domain unknown — Heath/Atlas to research
AC Real Estate Services,1,domain unknown — Heath/Atlas to research
Santino Properties LLC,1,domain unknown — Heath/Atlas to research
Encore Fine Properties,1,domain unknown — Heath/Atlas to research
Christie's International Real Estate,1,domain unknown — Heath/Atlas to research
San Antonio Elite Realty,1,domain unknown — Heath/Atlas to research
"Christina Carr, Broker",1,domain unknown — Heath/Atlas to research
Paley Realty,1,domain unknown — Heath/Atlas to research
Option One Real Esate,1,domain unknown — Heath/Atlas to research
Vista Realty,1,domain unknown — Heath/Atlas to research
Texas Roadrunner Realty,1,domain unknown — Heath/Atlas to research
Justin Crisp,1,domain unknown — Heath/Atlas to research
Kerri Real Estate,1,domain unknown — Heath/Atlas to research
RCL Texas Property Advisors,1,domain unknown — Heath/Atlas to research
Texas Premier Realty,1,domain unknown — Heath/Atlas to research
All City San Antonio,1,domain unknown — Heath/Atlas to research
RUBIOLA REALTY,1,domain unknown — Heath/Atlas to research
Stout Texas Realty,1,domain unknown — Heath/Atlas to research
Stonebury Realty,1,domain unknown — Heath/Atlas to research
"Rosa Orozco, Broker",1,domain unknown — Heath/Atlas to research
"Becker Properties, Llc",1,domain unknown — Heath/Atlas to research
Shelly Johnson Real Estate,1,domain unknown — Heath/Atlas to research
"SK1 Properties, LLC",1,domain unknown — Heath/Atlas to research
Redbird Realty LLC,1,domain unknown — Heath/Atlas to research
Option One Real Estate,1,domain unknown — Heath/Atlas to research
Dittmar Realty,1,domain unknown — Heath/Atlas to research
"OwnTXLand, LLC",1,domain unknown — Heath/Atlas to research
NB Elite Realty,1,domain unknown — Heath/Atlas to research
Sean Parker Realty Group,1,domain unknown — Heath/Atlas to research
Texas Home Realty,1,domain unknown — Heath/Atlas to research
"John Chunn Realty, LLC",1,domain unknown — Heath/Atlas to research
Anders Realty & Mortgage Group,1,domain unknown — Heath/Atlas to research
BK Real Estate LLC,1,domain unknown — Heath/Atlas to research
Hi Energy Realty,1,domain unknown — Heath/Atlas to research
White Label Realty Co,1,domain unknown — Heath/Atlas to research
Ward Field Realty,1,domain unknown — Heath/Atlas to research
Texas Ally Real Estate Group,1,domain unknown — Heath/Atlas to research
Century 21 The Hills Realty,1,domain unknown — Heath/Atlas to research
"Lux Agency, Llc",1,domain unknown — Heath/Atlas to research
